"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 18 17:27:01 CST 2024","Sat May 18 17:27:01 CST 2024","191","testcase","test_wms_supplier_004","TestSupplier","","","test_wms_supplier[supp_msg1]","修改供应商信息接口的测试用例"
"passed","Sat May 18 17:27:00 CST 2024","Sat May 18 17:27:00 CST 2024","142","testcase","test_wms_login_001","TestUserLogin","","","test_login[user_info2]","接口测试case"
"passed","Sat May 18 17:26:59 CST 2024","Sat May 18 17:26:59 CST 2024","195","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list4]","接口测试用例"
"passed","Sat May 18 17:26:58 CST 2024","Sat May 18 17:26:58 CST 2024","192","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list1]","接口测试用例"
"passed","Sat May 18 17:26:56 CST 2024","Sat May 18 17:26:57 CST 2024","169","testcase","test_wms_customer_adduser_003","TestAdduser","","","test_customer_adduser[adduser_msg2]","接口测试用例"
"passed","Sat May 18 17:26:59 CST 2024","Sat May 18 17:26:59 CST 2024","202","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list5]","接口测试用例"
"passed","Sat May 18 17:27:02 CST 2024","Sat May 18 17:27:02 CST 2024","202","testcase","test_wms_supplier_004","TestSupplier","","","test_wms_supplier[supp_msg5]","修改供应商信息接口的测试用例"
"passed","Sat May 18 17:26:57 CST 2024","Sat May 18 17:26:57 CST 2024","220","testcase","test_wms_customer_adduser_003","TestAdduser","","","test_customer_adduser[adduser_msg4]","接口测试用例"
"passed","Sat May 18 17:26:56 CST 2024","Sat May 18 17:26:56 CST 2024","182","testcase","test_wms_customer_adduser_003","TestAdduser","","","test_customer_adduser[adduser_msg1]","接口测试用例"
"passed","Sat May 18 17:27:00 CST 2024","Sat May 18 17:27:00 CST 2024","68","testcase","test_wms_login_001","TestUserLogin","","","test_login[user_info1]","接口测试case"
"failed","Sat May 18 17:27:00 CST 2024","Sat May 18 17:27:00 CST 2024","195","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list9]","接口测试用例"
"passed","Sat May 18 17:27:01 CST 2024","Sat May 18 17:27:01 CST 2024","196","testcase","test_wms_supplier_004","TestSupplier","","","test_wms_supplier[supp_msg2]","修改供应商信息接口的测试用例"
"passed","Sat May 18 17:26:57 CST 2024","Sat May 18 17:26:57 CST 2024","176","testcase","test_wms_customer_adduser_003","TestAdduser","","","test_customer_adduser[adduser_msg5]","接口测试用例"
"failed","Sat May 18 17:27:00 CST 2024","Sat May 18 17:27:00 CST 2024","214","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list8]","接口测试用例"
"passed","Sat May 18 17:26:58 CST 2024","Sat May 18 17:26:59 CST 2024","199","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list3]","接口测试用例"
"passed","Sat May 18 17:27:01 CST 2024","Sat May 18 17:27:01 CST 2024","202","testcase","test_wms_supplier_004","TestSupplier","","","test_wms_supplier[supp_msg3]","修改供应商信息接口的测试用例"
"passed","Sat May 18 17:26:56 CST 2024","Sat May 18 17:26:56 CST 2024","237","testcase","test_wms_customer_adduser_003","TestAdduser","","","test_customer_adduser[adduser_msg0]","接口测试用例"
"passed","Sat May 18 17:27:02 CST 2024","Sat May 18 17:27:02 CST 2024","200","testcase","test_wms_supplier_004","TestSupplier","","","test_wms_supplier[supp_msg4]","修改供应商信息接口的测试用例"
"passed","Sat May 18 17:26:57 CST 2024","Sat May 18 17:26:58 CST 2024","198","testcase","test_wms_customer_adduser_003","TestAdduser","","","test_customer_adduser[adduser_msg6]","接口测试用例"
"passed","Sat May 18 17:26:59 CST 2024","Sat May 18 17:26:59 CST 2024","199","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list6]","接口测试用例"
"passed","Sat May 18 17:26:57 CST 2024","Sat May 18 17:26:57 CST 2024","201","testcase","test_wms_customer_adduser_003","TestAdduser","","","test_customer_adduser[adduser_msg3]","接口测试用例"
"passed","Sat May 18 17:27:01 CST 2024","Sat May 18 17:27:01 CST 2024","198","testcase","test_wms_supplier_004","TestSupplier","","","test_wms_supplier[supp_msg0]","修改供应商信息接口的测试用例"
"passed","Sat May 18 17:26:58 CST 2024","Sat May 18 17:26:58 CST 2024","217","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list0]","接口测试用例"
"passed","Sat May 18 17:27:00 CST 2024","Sat May 18 17:27:01 CST 2024","59","testcase","test_wms_login_001","TestUserLogin","","","test_login[user_info3]","接口测试case"
"passed","Sat May 18 17:26:59 CST 2024","Sat May 18 17:27:00 CST 2024","211","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list7]","接口测试用例"
"passed","Sat May 18 17:26:58 CST 2024","Sat May 18 17:26:58 CST 2024","192","testcase","test_wms_customer_list_002","TestCustomer","","","test_customer_list[customer_list2]","接口测试用例"
"passed","Sat May 18 17:27:00 CST 2024","Sat May 18 17:27:00 CST 2024","157","testcase","test_wms_login_001","TestUserLogin","","","test_login[user_info0]","接口测试case"
